name,topics,topic_0,topic_1
弄堂,"[(0, 0.97531426), (1, 0.024685757)]",0.9753142595291138,0.024685757234692574
这样的人让我感激不尽,"[(0, 0.9694343), (1, 0.030565685)]",0.9694343209266663,0.030565684661269188
“凡人”查医生书写的英雄日记,"[(0, 0.9845248), (1, 0.015475192)]",0.9845247864723206,0.015475192107260227
34℃昨天申城气温破纪录,"[(0, 0.4208468), (1, 0.5791532)]",0.4208467900753021,0.5791531801223755
跟着“操心哥”安心“薅羊毛”,"[(0, 0.2805954), (1, 0.71940464)]",0.2805953919887543,0.7194046378135681
本报25路记者5小时直播,"[(0, 0.025741454), (1, 0.9742586)]",0.02574145421385765,0.9742586016654968
青春由磨砺出彩 人生因奋斗升华,"[(0, 0.19136317), (1, 0.8086368)]",0.1913631707429886,0.8086367845535278
爱上海 爱购物,"[(0, 0.07806396), (1, 0.921936)]",0.0780639573931694,0.9219359755516052
全国多地昨高温突破同期极值,"[(0, 0.027419358), (1, 0.9725807)]",0.027419358491897583,0.9725806713104248
沪高中生邀京鄂同龄人“云”合唱,"[(0, 0.68309975), (1, 0.31690022)]",0.6830997467041016,0.31690022349357605
这是一首为1/8000000的你写的诗,"[(0, 0.8847677), (1, 0.115232274)]",0.8847677111625671,0.11523227393627167
从空天到海渊，智慧跨域交流,"[(0, 0.6642501), (1, 0.3357499)]",0.6642500758171082,0.33574989438056946
34℃，147年以来同期单日最高气温,"[(0, 0.2557761), (1, 0.7442239)]",0.2557761073112488,0.7442238926887512
防未然,"[(0, 0.11776431), (1, 0.88223565)]",0.11776430904865265,0.8822356462478638
申城将办首个上海夜生活节,"[(0, 0.02008109), (1, 0.9799189)]",0.020081089809536934,0.979918897151947
浦东新区 上“云菜场”，买一送一,"[(0, 0.026446586), (1, 0.9735534)]",0.026446586474776268,0.9735534191131592
普陀区 边住边游，“拼就兑了”,"[(0, 0.13127297), (1, 0.868727)]",0.13127297163009644,0.8687270283699036
买买买 跟着“操心哥”安心“薅羊毛”,"[(0, 0.10100284), (1, 0.8989972)]",0.10100284218788147,0.8989971876144409
越夜越鲜活的魔都酒吧街回来了,"[(0, 0.33673817), (1, 0.66326183)]",0.3367381691932678,0.6632618308067322
戴上它，你就是指挥家！,"[(1, 0.99206835)]",0.0,0.992068350315094
熟悉的欢歌笑语又回来了,"[(0, 0.5123785), (1, 0.48762152)]",0.5123785138130188,0.4876215159893036
探深夜书店 抢动漫周边,"[(0, 0.045246452), (1, 0.9547535)]",0.04524645209312439,0.9547535181045532
逛步行街 听嘎山河,"[(0, 0.018461592), (1, 0.9815384)]",0.018461592495441437,0.9815384149551392
上海昨天新增2例境外输入病例,"[(0, 0.04712054), (1, 0.9528794)]",0.04712054133415222,0.9528794288635254
昨新增确诊病例3例,"[(0, 0.022765525), (1, 0.9772345)]",0.022765524685382843,0.9772344827651978
游戏主播：攻略视频赢得第一批粉丝,"[(0, 0.41169232), (1, 0.5883077)]",0.4116923213005066,0.5883076786994934
淮海路120岁啦 邀你一起设计纪念LOGO,"[(0, 0.020448444), (1, 0.97955155)]",0.02044844441115856,0.9795515537261963
海上“新船王”首靠洋山港,"[(0, 0.9524377), (1, 0.04756236)]",0.952437698841095,0.047562360763549805
病毒检测：技术活，科学活，也是责任活,"[(0, 0.8274479), (1, 0.17255206)]",0.8274478912353516,0.17255206406116486
日本紧急状态或延至5月31日,"[(0, 0.38801363), (1, 0.61198634)]",0.388013631105423,0.6119863390922546
委内瑞拉政府宣布挫败一起政变图谋,"[(0, 0.045916878), (1, 0.9540831)]",0.045916877686977386,0.9540830850601196
韩后天起进入生活防疫阶段,"[(0, 0.48477027), (1, 0.5152297)]",0.484770268201828,0.5152297019958496
亏大了！巴菲特清仓美四大航企股票,"[(0, 0.7383925), (1, 0.2616075)]",0.7383924722671509,0.26160749793052673
欧洲呼吁加强国际合作应对疫情,"[(0, 0.019844284), (1, 0.98015577)]",0.019844284281134605,0.9801557660102844
新民夜上海 越夜越精彩,"[(0, 0.8835418), (1, 0.1164582)]",0.8835418224334717,0.11645819991827011
意无涯,"[(0, 0.9281591), (1, 0.07184096)]",0.9281591176986694,0.07184095680713654
这道移动的风景线回来了,"[(0, 0.07815352), (1, 0.92184645)]",0.07815352082252502,0.9218464493751526
三言两语,"[(0, 0.9672639), (1, 0.032736108)]",0.9672638773918152,0.03273610770702362
春花开过就告别,"[(0, 0.9626195), (1, 0.037380558)]",0.9626194834709167,0.037380557507276535
爱与深情一捧泪,"[(0, 0.9293576), (1, 0.07064239)]",0.9293575882911682,0.07064238935709
十年之“缘”,"[(0, 0.68039316), (1, 0.31960684)]",0.6803931593894958,0.31960684061050415
岁月新期待，付诸夏日长,"[(0, 0.21959972), (1, 0.7804003)]",0.21959972381591797,0.780400276184082
海上：上海的别名,"[(0, 0.9906235)]",0.9906234741210938,0.0
石头,"[(0, 0.68378943), (1, 0.3162106)]",0.6837894320487976,0.3162105977535248
多方求教,"[(0, 0.819557), (1, 0.18044297)]",0.8195570111274719,0.18044297397136688
自在花开,"[(0, 0.93990934), (1, 0.060090706)]",0.9399093389511108,0.06009070575237274
人要知道害怕,"[(0, 0.86255556), (1, 0.13744447)]",0.8625555634498596,0.13744446635246277
岳州路上那些事,"[(0, 0.724735), (1, 0.27526495)]",0.7247350215911865,0.2752649486064911
断想,"[(0, 0.60474986), (1, 0.3952501)]",0.604749858379364,0.3952501118183136
“连接”中澳的不只是电缆，还有他的文化梦想,"[(0, 0.66763186), (1, 0.3323681)]",0.6676318645477295,0.3323681056499481
内地高铁和城际铁路实现电子客票全覆盖,"[(0, 0.9090876), (1, 0.09091243)]",0.909087598323822,0.09091243147850037
他研制的消毒液可直接入口,"[(0, 0.34788784), (1, 0.6521121)]",0.3478878438472748,0.6521121263504028
这个春天来“云上”找工作,"[(0, 0.9826698), (1, 0.017330203)]",0.9826697707176208,0.01733020320534706
自制口罩让缝纫机火了,"[(0, 0.55418324), (1, 0.44581676)]",0.5541832447052002,0.4458167552947998
雨伞做成包 环保又时尚,"[(0, 0.3130526), (1, 0.6869474)]",0.31305259466171265,0.6869474053382874
肉包做出了不同于中国的味道,"[(0, 0.32525712), (1, 0.6747428)]",0.3252571225166321,0.6747428178787231
在日本感受中国的曲水流觞,"[(0, 0.7543465), (1, 0.24565352)]",0.754346489906311,0.24565352499485016
外卖小哥在日本意外走红,"[(0, 0.4270279), (1, 0.5729721)]",0.4270279109477997,0.5729721188545227
生物制剂治疗中重度银屑病减缓病情进展,"[(0, 0.9697164), (1, 0.03028351)]",0.9697164297103882,0.03028351068496704
中医针灸带状疱疹独树一帜,"[(0, 0.13054477), (1, 0.8694552)]",0.1305447667837143,0.8694552183151245
立夏养生关键在于“降”,"[(0, 0.46898007), (1, 0.53102)]",0.468980073928833,0.5310199856758118
戴口罩防范到位可减少哮喘急性发作,"[(0, 0.18936227), (1, 0.8106377)]",0.1893622726202011,0.8106377124786377
莘莘学子请收好返校心理锦囊,"[(0, 0.9932817)]",0.9932817220687866,0.0
25路记者5小时记录消费故事,"[(0, 0.059071384), (1, 0.9409286)]",0.059071384370326996,0.94092857837677
购物在上海，不止买买买,"[(0, 0.035261307), (1, 0.96473867)]",0.035261306911706924,0.964738667011261
4分钟破1亿4小时超23亿,"[(0, 0.28269222), (1, 0.7173077)]",0.28269222378730774,0.7173076868057251
用青春和汗水谱写时代华章,"[(0, 0.23825233), (1, 0.7617477)]",0.23825232684612274,0.7617477178573608
全城消费额4分钟破1亿元,"[(0, 0.22914888), (1, 0.77085114)]",0.22914887964725494,0.7708511352539062
静安区彻底消灭成片二级以下旧里,"[(0, 0.25553632), (1, 0.7444637)]",0.2555363178253174,0.7444636821746826
全城动员“五五购物节”共享实惠,"[(0, 0.16346204), (1, 0.836538)]",0.16346204280853271,0.8365380167961121
骨折狂欢　先买为敬,"[(0, 0.32256475), (1, 0.6774352)]",0.3225647509098053,0.6774352192878723
线上线下　流连忘返,"[(0, 0.1954754), (1, 0.8045246)]",0.19547539949417114,0.8045246005058289
大包小包　边逛边吃,"[(0, 0.45147622), (1, 0.54852384)]",0.45147621631622314,0.5485238432884216
线上线下一起逛，购物娱乐一起拼,"[(1, 0.9955703)]",0.0,0.9955703020095825
“种草社区”小红书助力“五五购物节”,"[(0, 0.0314204), (1, 0.9685796)]",0.031420398503541946,0.9685795903205872
冲呀 元气小夫妻 五五购一天,"[(0, 0.50166446), (1, 0.49833554)]",0.5016644597053528,0.4983355402946472
宝山区 逛购八商圈高境夜消费,"[(0, 0.5096087), (1, 0.49039134)]",0.5096086859703064,0.490391343832016
杨浦区 嗨翻五角场欢乐打折季,"[(0, 0.026670102), (1, 0.9733299)]",0.026670102030038834,0.9733299016952515
首批30台“五五折”汽车上线秒光,"[(1, 0.9901472)]",0.0,0.9901471734046936
“热力图”看上海购物之“热”,"[(0, 0.1528482), (1, 0.8471518)]",0.15284819900989532,0.8471518158912659
从“顾客您好”到“宝宝们好”,"[(0, 0.019332474), (1, 0.98066753)]",0.01933247409760952,0.9806675314903259
昨天没有新增疑似病例,"[(0, 0.057607062), (1, 0.9423929)]",0.05760706216096878,0.942392885684967
